Country,Category,Next,IKEA,Very,Dunnes,Home Store + More
,Cushions,https://www.nextdirect.com/kw/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.ikea.com/kw/en/cat/cushions-18902/,https://www.homecentre.com/kw/en/c/household-cushionsandthrows-filledcushions,https://www.zarahome.com/kw/en/home-decor-cushions-couch-living-room-n994,
,Bath Mats,https://www.nextdirect.com/kw/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.ikea.com/kw/en/cat/bath-mats-20519/,https://www.homecentre.com/kw/en/c/household-bathandlaundry-bathlinen-bathmatsandtubmats,https://www.zarahome.com/kw/en/bathroom-bathmats-n1052,
,Table Lamps,https://www.nextdirect.com/kw/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com/kw/en/cat/table-lamps-10732/,https://www.homecentre.com/kw/en/c/household-lighting-tableanddesklamps,https://www.zarahome.com/kw/en/search.html?term=table%20lamp,
,,,,,,
,,,Rozetka,JYSK,Epicentr K,
Ukraine,Bed Sets,https://www.next.ua/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://rozetka.com.ua/ua/bed_linen/c169827/,https://jysk.ua/spalnya/komplekti-bilizni,N/A,
,Towels,https://www.next.ua/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://rozetka.com.ua/ua/towels/c169829/,https://jysk.ua/vanna/rushniki,N/A,
,Bed Sheets,https://www.next.ua/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://rozetka.com.ua/ua/prostini/c4672388/,https://jysk.ua/spalnya/prostiradla,N/A,
,Ceiling Lights,https://www.next.ua/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://build.rozetka.com.ua/ua/bra-i-nastennye-svetilniki/c105282/,https://jysk.ua/dlya-domu/osvitlennya/lampi,https://epicentrk.ua/ua/shop/nastenno-potolochnye-svetilniki/,
,Curtains,https://www.next.ua/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://build.rozetka.com.ua/ua/nastolnye-lampy/c105280/,n/a,https://epicentrk.ua/ua/shop/shtory/,
,Cushions,https://www.next.ua/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,n/a,https://jysk.ua/dlya-domu/podushki-na-stilci ,N/A,
,Bath Mats,https://www.next.ua/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,n/a,https://jysk.ua/vanna/kilimki-dlya-vannoi,N/A,
,Table Lamps,https://www.next.ua/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://build.rozetka.com.ua/ua/nastolnye-lampy/c105280/,https://jysk.ua/dlya-domu/osvitlennya/lampi,https://epicentrk.ua/ua/shop/nastolnye-lampy/,
,,,,,,
,,,Ikea,Zara Home,,
Hong Kong,Bed Sets,https://www.nextdirect.com/hk/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com.hk/en/products/bed-linen/duvet-cover-sets,https://www.zarahome.com/hk/bedroom-bedspreads-n951,,
,Towels,https://www.nextdirect.com/hk/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.ikea.com.hk/en/products/bathroom-textiles/towels,https://www.zarahome.com/hk/bathroom-towels-n1051,,
,Bed Sheets,https://www.nextdirect.com/hk/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.ikea.com.hk/en/products/bed-linen/bed-sheets,https://www.zarahome.com/hk/bedroom-fitted-sheets-n948,,
,Ceiling Lights,https://www.nextdirect.com/hk/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.ikea.com.hk/en/products/lamp-and-shades/ceiling-lamps-and-spotlights,https://www.zarahome.com/hk/lighting-ceiling-lamps-n4884,,
,Curtains,https://www.nextdirect.com/hk/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.ikea.com.hk/en/products/curtains-and-blinds/curtains,https://www.zarahome.com/hk/home-decor-curtains-blinds-n996,,
,Cushions,https://www.nextdirect.com/hk/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.ikea.com.hk/en/products/cushions-and-accessories/cushions-and-cushion-covers?tags[]=2814,https://www.zarahome.com/hk/home-decor-cushions-couch-living-room-n994,,
,Bath Mats,https://www.nextdirect.com/hk/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.ikea.com.hk/en/products/bathroom-textiles/bathmats,https://www.zarahome.com/hk/bathroom-bathmats-n1052,,
,Table Lamps,https://www.nextdirect.com/hk/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com.hk/en/products/lamp-and-shades/table-lamps,https://www.zarahome.com/hk/lighting-lamps-table-n4881,,
,,,,,,
,,,IKEA,Bol,,
Holland,Bed Sets,https://www.nextdirect.com/nl/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com/nl/en/cat/quilt-cover-sets-10680/,https://www.bol.com/nl/nl/l/dekbedovertrekken/14194/?bltgh=ae2fd143-ec43-49ce-9f1a-14c53f70caff.g.i.QueryContextHook,,
,Towels,https://www.nextdirect.com/nl/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.ikea.com/nl/en/cat/towels-20520/,https://www.bol.com/nl/nl/ra/2-1-gratis-op-handdoeken-van-o-a-walra-en-beddinghouse/440207+14239/?cid=1757757360102-8203159796218&bltgh=f037736a-1955-4e9d-a0f4-a5a74d78f8dc.ProductList_Top.Banner&promo=main_605_C440207_0_MHP_1_200030544,,
,Bed Sheets,https://www.nextdirect.com/nl/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.ikea.com/nl/en/cat/bed-sheets-10681/,https://www.bol.com/nl/nl/l/hoeslakens/14196/,,
,Ceiling Lights,https://www.nextdirect.com/nl/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.ikea.com/nl/en/cat/ceiling-lights-18750/,https://www.bol.com/nl/nl/ra/licht-je-huis-op-met-verlichting/457060+14260/,,
,Curtains,https://www.nextdirect.com/nl/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.ikea.com/nl/en/cat/curtains-10700/,https://www.bol.com/nl/nl/l/gordijnen/20770/?bltgh=d20852ef-af92-4503-a335-043e910af852.g.i.QueryContextHook,,
,Cushions,https://www.nextdirect.com/nl/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.ikea.com/nl/en/cat/cushions-18902/,https://www.bol.com/nl/nl/l/kussentjes/14131/?bltgh=068d308b-74b3-4397-9ffa-d0812a6e63a5.g.i.QueryContextHook,,
,Bath Mats,https://www.nextdirect.com/nl/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.ikea.com/nl/en/cat/bath-mats-20519/,https://www.bol.com/nl/nl/l/badmatten/14242/?bltgh=e3c279e9-a5f9-487e-ad6c-be91c7bdd275.g.i.QueryContextHook,,
,Table Lamps,https://www.nextdirect.com/nl/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com/nl/en/cat/table-lamps-10732/,https://www.bol.com/nl/nl/ra/licht-je-huis-op-met-verlichting/457060+44092/,,
,,,,,,
,,,IKEA,Zara Home,,
Singapore,Bed Sets,https://www.next.sg/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com/sg/en/cat/bed-linen-10651/,https://www.zarahome.com/sg/bedroom-bedspreads-n951,,
,Towels,https://www.next.sg/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.ikea.com/sg/en/cat/towels-20520/,https://www.zarahome.com/sg/bathroom-towels-n1051,,
,Bed Sheets,https://www.next.sg/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.ikea.com/sg/en/cat/bedsheets-10681/,https://www.zarahome.com/sg/bedroom-fitted-sheets-n948,,
